"anyo","provincia","comarca","cdmun","municipi","codi_sector","descripcio_sector","consum_kwh","observacions"
2013,"BARCELONA","BERGUEDA","08011","AVIA",1,"PRIMARI","93182",NULL
2013,"BARCELONA","BERGUEDA","08011","AVIA",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BERGUEDA","08011","AVIA",4,"CONSTRUCCIO I OBRES PUBLIQUES","33056",NULL
2013,"BARCELONA","BERGUEDA","08011","AVIA",6,"TERCIARI","1251339",NULL
2013,"BARCELONA","BERGUEDA","08011","AVIA",7,"USOS DOMESTICS","3527277",NULL
2013,"BARCELONA","BAGES","08012","AVINYO",1,"PRIMARI","810106",NULL
2013,"BARCELONA","BAGES","08012","AVINYO",3,"INDUSTRIAL","14305284",NULL
2013,"BARCELONA","BAGES","08012","AVINYO",4,"CONSTRUCCIO I OBRES PUBLIQUES","4972",NULL
2013,"BARCELONA","BAGES","08012","AVINYO",6,"TERCIARI","3354343",NULL
2013,"BARCELONA","BAGES","08012","AVINYO",7,"USOS DOMESTICS","3247849",NULL
2013,"BARCELONA","ALT PENEDES","08013","AVINYONET DEL PENEDES",1,"PRIMARI","72021",NULL
2013,"BARCELONA","ALT PENEDES","08013","AVINYONET DEL PENEDES",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ALT PENEDES","08013","AVINYONET DEL PENEDES",4,"CONSTRUCCIO I OBRES PUBLIQUES","70994",NULL
2013,"BARCELONA","ALT PENEDES","08013","AVINYONET DEL PENEDES",6,"TERCIARI","1842183",NULL
2013,"BARCELONA","ALT PENEDES","08013","AVINYONET DEL PENEDES",7,"USOS DOMESTICS","2928307",NULL
2013,"BARCELONA","VALLES ORIENTAL","08014","AIGUAFREDA",1,"PRIMARI",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","VALLES ORIENTAL","08014","AIGUAFREDA",3,"INDUSTRIAL","1799422",NULL
2013,"BARCELONA","VALLES ORIENTAL","08014","AIGUAFREDA",4,"CONSTRUCCIO I OBRES PUBLIQUES","91399",NULL
2013,"BARCELONA","VALLES ORIENTAL","08014","AIGUAFREDA",6,"TERCIARI","2207987",NULL
2013,"BARCELONA","VALLES ORIENTAL","08014","AIGUAFREDA",7,"USOS DOMESTICS","3441244",NULL
2013,"BARCELONA","BARCELONES","08015","BADALONA",1,"PRIMARI","158753",NULL
2013,"BARCELONA","BARCELONES","08015","BADALONA",3,"INDUSTRIAL","79833992",NULL
2013,"BARCELONA","BARCELONES","08015","BADALONA",4,"CONSTRUCCIO I OBRES PUBLIQUES","1448433",NULL
2013,"BARCELONA","BARCELONES","08015","BADALONA",5,"TRANSPORT",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BARCELONES","08015","BADALONA",6,"TERCIARI","228150635",NULL
2013,"BARCELONA","BARCELONES","08015","BADALONA",7,"USOS DOMESTICS","225635678",NULL
2013,"BARCELONA","BERGUEDA","08016","BAGA",1,"PRIMARI","46883",NULL
2013,"BARCELONA","BERGUEDA","08016","BAGA",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BERGUEDA","08016","BAGA",4,"CONSTRUCCIO I OBRES PUBLIQUES","37475",NULL
2013,"BARCELONA","BERGUEDA","08016","BAGA",6,"TERCIARI","3536104",NULL
2013,"BARCELONA","BERGUEDA","08016","BAGA",7,"USOS DOMESTICS","4279600",NULL
2013,"BARCELONA","OSONA","08017","BALENYA",1,"PRIMARI","313039",NULL
2013,"BARCELONA","OSONA","08017","BALENYA",3,"INDUSTRIAL","8709043",NULL
2013,"BARCELONA","OSONA","08017","BALENYA",4,"CONSTRUCCIO I OBRES PUBLIQUES","94420",NULL
2013,"BARCELONA","OSONA","08017","BALENYA",6,"TERCIARI","6890986",NULL
2013,"BARCELONA","OSONA","08017","BALENYA",7,"USOS DOMESTICS","4187390",NULL
2013,"BARCELONA","BAGES","08018","BALSARENY",1,"PRIMARI","293406",NULL
2013,"BARCELONA","BAGES","08018","BALSARENY",3,"INDUSTRIAL","13075016","Inclou el consum del sector energètic."
2013,"BARCELONA","BAGES","08018","BALSARENY",4,"CONSTRUCCIO I OBRES PUBLIQUES","14361",NULL
2013,"BARCELONA","BAGES","08018","BALSARENY",6,"TERCIARI","2618010",NULL
2013,"BARCELONA","BAGES","08018","BALSARENY",7,"USOS DOMESTICS","4100517",NULL
2013,"BARCELONA","BARCELONES","08019","BARCELONA",1,"PRIMARI","13411102",NULL
2013,"BARCELONA","BARCELONES","08019","BARCELONA",3,"INDUSTRIAL","615148666","Inclou el consum del sector energètic."
2013,"BARCELONA","BARCELONES","08019","BARCELONA",4,"CONSTRUCCIO I OBRES PUBLIQUES","23885735",NULL
