"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
51,"080517","Castellar del Vallès","45.0705","45.0705","40","08","20170426","201707262100",21335,331,"Vallès Occidental"
52,"080522","Castellar de n'Hug","46.8524","46.8524","14","08","20170726","201707262100",198,1395,"Berguedà"
53,"080538","Castellbell i el Vilar","28.4659","28.4659","07","08","20170726","201707262100",3369,178,"Bages"
54,"080543","Castellbisbal","30.96","30.96","40","08","20111214","201707262100",11272,132,"Vallès Occidental"
55,"080556","Castellcir","33.9376","33.9376","42","08","20171213","201801011500",575,773,"Moianès"
56,"080569","Castelldefels",NULL,"13.0245","11","08",NULL,"201707262100",58663,3,"Baix Llobregat"
57,"080575","Castell de l'Areny","24.5985","24.5985","14","08","20170726","201707262100",68,954,"Berguedà"
58,"080581","Castellet i la Gornal",NULL,"46.885","03","08",NULL,"201707262100",1919,137,"Alt Penedès"
59,"080594","Castellfollit del Boix","59.3555","59.3555","07","08","20160505","201707262100",407,700,"Bages"
60,"080608","Castellfollit de Riubregós","26.2786","26.2786","06","08","20141022","201707262100",201,467,"Anoia"
61,"080615","Castellgalí",NULL,"17.1557","07","08",NULL,"201707262100",1436,266,"Bages"
62,"080620","Castellnou de Bages","29.1210","29.121","07","08","20160505","201707262100",837,469,"Bages"
63,"080636","Castellolí","25.34","25.34","06","08","20101117","201707262100",460,415,"Anoia"
64,"080641","Castellterçol","31.9423","31.9423","42","08","20171213","201801011500",2202,726,"Moianès"
65,"080654","Castellví de la Marca",NULL,"28.6828","03","08",NULL,"201707262100",1603,198,"Alt Penedès"
66,"080667","Castellví de Rosanes",NULL,"16.392","11","08",NULL,"201801011500",1505,178,"Baix Llobregat"
67,"080673","Centelles","15.3398","15.3398","24","08","20150429","201707262100",6671,496,"Osona"
68,"080689","Cervelló",NULL,"24.0858","11","08",NULL,"201707262100",7674,122,"Baix Llobregat"
69,"080692","Collbató","18.06","18.06","11","08","20111214","201707262100",3576,388,"Baix Llobregat"
70,"080706","Collsuspina","15.1276","15.1276","42","08","20160505","201707262100",316,901,"Moianès"
71,"080713","Copons","18.69","18.69","06","08","20111214","201707262100",289,432,"Anoia"
72,"080728","Corbera de Llobregat",NULL,"18.3358","11","08",NULL,"201801011500",12805,342,"Baix Llobregat"
